id,subject,status,priority,assignee_id,requester_id,organization_id,tags,created_at,updated_at
115044,"An error occurred with your ""Dagelijks koppelen aan UOM records."" flow",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T00:00:29Z,2025-10-31T00:00:29Z
115045,"Er heeft zich een fout voorgedaan met uw stroom ""Vul Budget op Urenrapportage vestiging""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T01:00:35Z,2025-10-31T01:00:35Z
115046,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Vacature: offline na 30 dagen v2""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T02:01:06Z,2025-10-31T02:01:06Z
115047,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Vacature: offline na 30 dagen v2""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T02:16:27Z,2025-10-31T02:16:27Z
115048,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Vacature: offline na 30 dagen v2""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T02:47:35Z,2025-10-31T02:47:35Z
115049,"Er heeft zich een fout voorgedaan met uw stroom ""Factuurbedrag op vaste plaatsing (dagelijks)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T03:01:12Z,2025-10-31T03:01:12Z
115050,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Vacature: offline na 30 dagen v2""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T03:48:35Z,2025-10-31T03:48:35Z
115051,"Er heeft zich een fout voorgedaan met uw stroom ""Trigger btw checker on edit""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T03:49:04Z,2025-10-31T03:49:04Z
115052,"Er heeft zich een fout voorgedaan met uw stroom ""Trigger btw checker on edit""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T04:04:31Z,2025-10-31T04:04:31Z
115053,"Er heeft zich een fout voorgedaan met uw stroom ""Trigger btw checker on edit""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T04:35:53Z,2025-10-31T04:35:53Z
115042,"Er heeft zich een fout voorgedaan met uw stroom ""Wijzigingen document v2""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T19:05:49Z,2025-10-30T19:05:49Z
115043,"Er heeft zich een fout voorgedaan met uw stroom ""Signrequest status v2""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T19:05:50Z,2025-10-30T19:05:50Z
115054,"Er heeft zich een fout voorgedaan met uw stroom ""Verlengen contract met 28 dagen""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T05:00:17Z,2025-10-31T05:00:17Z
115040,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T18:50:46Z,2025-10-30T18:50:46Z
